ID,Year,Authors,Date,Completion,Study site,Latitude,Longitude,Lat zone,Ocean Basin,Study environment,Age of reef,Age category,Substrate type,Rugosity,Vertical relief,Openings,Material type,Shape of reef,General Reef Type,Specific Reef Type,Experimental group,N,Size of reef,Size of reef units,Control pre or post AR,Size of plot ,Plot size units,Volume of plot,Depth,Depth units,Distance offshore,Distance offshore units,Purpose of reef,Method of data collection,Month,Season,Averageable,Duration,Fish Abundance,Abundance units,Fish Biomass,Biomass units,Fish Species Richness,Species Richness units,Paper conclusion,Number of metrics
14,2007,,,Y,,14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,75,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,February,,X,,,,,,15,number of species,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,February,,X,,,,,,3,number of species,,1
14,2007,,,Y,,14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,75,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,February,,X,,,,,,14,number of species,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,February,,X,,,,,,3,number of species,,1
15,2004,"Morinière,  van der Meij, et al",5/2/2023,Y,"Spanish Water Bay, Curaçao",12.06769,-68.85327,,North Atlantic,Offshore,NA,Established,vegitation,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,4,0,m3,NA,1,m2,0.8,5,m,,,Natural,Underwater visual census,,,,,1.647058969,number of fish,,,43.04708943,number of species,,2
15,2004,,,Y,,12.06769,-68.85327,,North Atlantic,Offshore,NA,New,vegitation,Low rugosity,Low vertical relief,No openings,PVC,Pole,Designed reefs,16 vertical pvc pipes,Experimental,4,0.001130973,m3,NA,1,m2,0.8,5,m,,,Research,Underwater visual census,,,,,1.60649102,number of fish,,,28.75346255,number of species,,2
15,2004,,,Y,,12.06769,-68.85327,,North Atlantic,Offshore,NA,New,vegitation,Low rugosity,Low vertical relief,No openings,PVC,Pole,Designed reefs,32 vertical pvc pipes ,Experimental,4,0.002261946,m3,NA,1,m2,0.8,5,m,,,Research,Underwater visual census,,,,,1.60649102,number of fish,,,25.76177394,number of species,,2
15,2004,,,Y,,12.06769,-68.85327,,North Atlantic,Offshore,NA,New,vegitation,Low rugosity,Low vertical relief,No openings,PVC,Pole,Designed reefs,64 vertical pvc pipes,Experimental,4,0.004523891,m3,NA,1,m2,0.8,5,m,,,Research,Underwater visual census,,,,,2.888438141,number of fish,,,23.93351521,number of species,,2
16,2004,"Fabi, Grati, et al",5/3/2023,Y,"Pesaro, Italy",44.02659,12.91447,,Mediterranean ,Offshore,4,New,Sand/mud,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,1,14200,m3,NA,1500,m2,1500,21.5,m,16,km,Oil rig,Trap net,,,,,97.08737864,number of fish,7.857143228,kg,43.04708943,number of species,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,1500,m2,1500,21.5,m,16,km,Natural,Trap net,,,,,112.6213444,number of fish,6.734691971,kg,28.75346255,number of species,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,4,New,Sand/mud,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,1,9500,m3,NA,1500,m2,1500,21.5,m,35,km,Oil rig,Trap net,,,,,44.66017936,number of fish,6.224487916,kg,25.76177394,number of species,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,1500,m2,1500,21.5,m,35,km,Natural,Trap net,,,,,33.98058252,number of fish,5.612244607,kg,23.93351521,number of species,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,4,New,Sand/mud,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,1,14200,m3,NA,1500,m2,1500,21.5,m,16,km,Oil rig,Trap net,,,,,96.11651967,number of fish,7.755096189,kg,39.0581734,number of species,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,1500,m2,1500,21.5,m,16,km,Natural,Trap net,,,,,88.34949975,number of fish,6.632652717,kg,36.89750341,number of species,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,4,New,Sand/mud,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,1,9500,m3,NA,1500,m2,1500,21.5,m,35,km,Oil rig,Trap net,,,,,145.631068,number of fish,17.04081622,kg,41.05262824,number of species,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,1500,m2,1500,21.5,m,35,km,Natural,Trap net,,,,,48.54368932,number of fish,3.979593187,kg,25.9279764,number of species,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,4,New,Sand/mud,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,1,14200,m3,NA,1500,m2,1500,21.5,m,16,km,Oil rig,Trap net,,,,,92.23300971,number of fish,9.387755393,kg,41.05262824,number of species,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,1500,m2,1500,21.5,m,16,km,Natural,Trap net,,,,,73.78639295,number of fish,7.142856772,kg,31.91135362,number of species,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,4,New,Sand/mud,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,1,9500,m3,NA,1500,m2,1500,21.5,m,35,km,Oil rig,Trap net,,,,,375.7281627,number of fish,46.02040811,kg,50.52631412,number of species,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,1500,m2,1500,21.5,m,35,km,Natural,Trap net,,,,,19.41747573,number of fish,4.285718734,kg,38.06093963,number of species,,3
17,2002,"Fabi, Grati, et al",5/3/2023,Y,"Pesaro, Italy",44.02659,12.91447,,Mediterranean ,Offshore,1,New,Silt-clay,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,1,9500,m3,NA,500,m2,500,21,m,13.67942,km,Oil rig,Trap net,,,,,128,number of fish,9.51,kg,NA,NA,,2
17,2002,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Silt-clay,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,500,m2,500,21,m,13.67942,km,Natural,Trap net,,,,,133,number of fish,10.04,kg,NA,NA,,2
17,2002,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,2,New,Silt-clay,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,1,9500,m3,NA,500,m2,500,21,m,13.67942,km,Oil rig,Trap net,,,,,151.1,number of fish,8.54,kg,NA,NA,,2
17,2002,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Silt-clay,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,500,m2,500,21,m,13.67942,km,Natural,Trap net,,,,,134.8,number of fish,8.78,kg,NA,NA,,2
18,2002,"Herrera, Espino, et al",5/3/2023,Y,"Canary Islands, Spain",28.1529,-16.22923,,North Atlantic,Offshore,NA,New,Sand,Low rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete modules,Experimental,35,"1,022.70",m3,NA,98.52,m2,2315.23,23.5,m,0.4,km,Research,Underwater visual census,,,,,,,,,17,number of species,,1
18,2002,,,Y,,28.1529,-16.22923,,North Atlantic,Offshore,NA,Established,Sand,NA,NA,NA,Natural,Natural,Natural reef,Natural reef,NA,1,0,m3,NA,98.52,m2,2315.23,18,m,0.4,km,Natural,Underwater visual census,,,,,,,,,20,number of species,,1
18,2002,,,Y,,28.1529,-16.22923,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1,0,m3,NA,98.52,m2,2315.23,23,m,0.4,km,Natural,Underwater visual census,,,,,,,,,15,number of species,,1
18,2002,,,Y,,28.1529,-16.22923,,North Atlantic,Offshore,NA,New,Sand,High rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete modules,Experimental,85,680,m3,NA,98.52,m2,2315.23,23,m,0.4,km,Research,Underwater visual census,,,,,,,,,53,number of species,,1
19,1999,Clark and Edwards,5/3/2023,Y,"Malé, Maldeves",4.20266,73.50592,,Indian Ocean,Offshore,0.023972542,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,192.4528276,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.054794513,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,297.1698407,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.075342406,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,250.4717337,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.106164377,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,333.9622756,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.136986217,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,380.6603826,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.202054763,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,210.8490451,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.208904105,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,257.5472061,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.260273968,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,352.358493,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.349315014,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,273.1132238,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.400684878,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,192.4528276,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.503424605,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,223.584917,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.592465781,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,329.717003,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.684931432,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,219.3396443,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.866438389,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,290.0943683,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.130136919,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,560.3774193,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.287671116,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,377.8302369,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.616438454,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,629.7170435,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.993150789,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,363.6792921,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.48972614,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,277.3584964,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,3.07191767,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,509.4340127,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,3.452054872,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,1,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,575.943437,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,58.01885207,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.047945171,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,147.1697935,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.099315035,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,90.56601431,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.219178051,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,113.2075584,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.304794491,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,159.9055574,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.400684878,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,142.9245209,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.578767099,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,165.5660649,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.006849298,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,165.5660649,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.434931497,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,193.8679545,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.770548046,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,166.9810298,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.205479456,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,130.1887029,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.787671508,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,100.4716865,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,3.160958977,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,168.3962107,number of fish,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.020547937,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,125.9433763,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.051369777,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,161.3207383,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.099315035,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,155.6603928,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.222602657,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,141.509448,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.301369755,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,208.0188993,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.397260272,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,217.9245175,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.575342493,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,212.264172,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.006849298,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,227.8301896,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.417808209,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,202.3584998,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.722602787,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,244.8113342,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.297945106,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,161.3207383,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.784246641,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,152.830085,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,3.15753411,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,1,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,215.0943717,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.054794513,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,1,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,87.73586854,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.102739641,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,1,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,67.92441626,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.304794491,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,1,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,106.132086,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.407534219,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,1,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,65.09432447,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.582191704,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,1,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,76.41506951,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.017123375,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,1,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,111.7924315,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.431506892,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,1,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,72.16979687,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.753424758,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,1,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,94.81134093,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.325342471,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,1,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,45.28298016,,,,,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.787671508,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,1,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,52.35845256,,,,,,,1
