ID,Year,Authors,Date,Completion,Study site,Latitude,Longitude,Lat zone,Ocean Basin,Study environment,Age of reef,Age category,Substrate type,Rugosity,Vertical relief,Openings,Material type,Shape of reef,General Reef Type,Specific Reef Type,Experimental group,N,Size of reef,Size of reef units,Control pre or post AR,Size of plot ,Plot size units,Volume of plot,Depth,Depth units,Distance offshore,Distance offshore units,Purpose of reef,Method of data collection,Month,Season,Averageable,Duration,Fish Abundance,Abundance units,Abundance upper error,Abundance lower error,Abundance SE,Abundance SD,Abundance error type,Fish Biomass,Biomass units,Biomass upper error,Biomass lower error,Biomass SE,Biomass SD,Biomass error type,Fish Species Richness,Species Richness units,Species richness upper error,Species richness lower error,Species richness SE,Species richness SD,Species richness error type,Paper conclusion,Number of metrics
10,2013,"Krone, Gutow, et al",4/28/2023,Y,"Southern North Sea, Germany",54,6.3,,North Atlantic,Offshore,60.25,Established,Sand,High rugosity,High vertical relief,With openings,Metal,Ship,Ships,Metal ship,Experimental,23,12306.56,m3,NA,1,m2,1,23.225,m,30,km,Accident,Transect,,,,,4.9,number of fish,6,3.8,0.229365855,0.047826087,SD,,,,,,0,,16,number of species,NA,NA,,0,,,3
11,2010,"Boswell, Wells, et al",4/28/2023,Y,"Barataria Bay, Louisiana",29.112,-89.5325,,North Atlantic,Offshore,52,Established,Soft sediment,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,8,38400000,m3,NA,1,m2,1,16,m,11,km,Oil rig,Acoustic survey,,,,,0.16528926,number of fish,0.17528926,0.15528926,0.01,0.003535534,SE,,,,,,0,,,,,,,0,,,1
11,2010,,,Y,,29.112,-89.5325,,North Atlantic,Offshore,NA,Established,Soft sediment,Control,Control,Control,Natural,Natural,Bare,Soft bottom,Control,8,0,m3,NA,1,m2,1,16,m,11,km,Natural,Acoustic survey,,,,,0.011570261,number of fish,0.021570261,0.001570261,0.01,0.003535534,SE,,,,,,0,,,,,,,0,,,1
12,2009,"Langhammer, Wilhelmsson",4/28/2023,Y,"Lysekil, Sweeden",58.1185,11.2246,,North Atlantic,Offshore,0.1666,New,Sand/mud,Low rugosity,Low vertical relief,No openings,Concrete,Cylinder,Non-designed ,Wave power foundation,Experimental,21,148.44018,m3,NA,5,m2,5,25,m,2,km,Wave power,Underwater visual census,,,,,1.141666685,number of fish,1.39943,0.57507,0.257763315,0.056248567,SE,,,,,,0,,8,number of species,NA,NA,,0,NA,,1
12,2009,,,Y,,58.1185,11.2246,,North Atlantic,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,21,0,m3,NA,5,m2,5,25,m,3,km,Natural,Underwater visual census,,,,,0.425000068,number of fish,0.875354,0.283286,0.450353932,0.098275285,SE,,,,,,0,,3,number of species,NA,NA,,0,NA,,1
13,2009,"Coll, Abad, et al",4/29/2023,Y,"Mallorca and Formentera, Spain",39.5,2.5,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,9,,m3,NA,90,m2,90,30,m,9.5,km,Natural,Trap net,,,,,,,,,,0,,789.4,g,1169.3,409.5,379.9,126.6333333,SE,10,number of species,NA,NA,,0,NA,,2
13,2009,,,Y,,39.5,2.5,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,9,0,m3,NA,90,m2,90,30,m,18.5,km,Natural,Trap net,,,,,,,,,,0,,3438.7,g,4858,2019.4,1419.3,473.1,SE,25,number of species,NA,NA,,0,NA,,2
13,2009,,,Y,,39.5,2.5,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,9,0,m3,NA,90,m2,90,30,m,,km,Natural,Trap net,,,,,,,,,,0,,10412.2,g,12411,8413.4,1998.8,666.2666667,SE,30,number of species,NA,NA,,0,NA,,2
13,2009,,,Y,,39.5,2.5,,Mediterranean ,Offshore,NA,Established,Sand,Control,Control,Control,Bare,Bare,Bare,Bare sand,Control,9,0,m3,NA,90,m2,90,30,m,,km,Natural,Trap net,,,,,,,,,,0,,4076.7,g,4418,3735.4,341.3,113.7666667,SE,20,number of species,NA,NA,,0,NA,,2
13,2009,,,Y,,39.5,2.5,,Mediterranean ,Offshore,12,Established,Sand,Low rugosity,High vertical relief,With openings,Concrete,Octagon,Designed reefs,Cement block structure,Experimental,9,48000,m3,NA,90,m2,90,30,m,,km,Research,Trap net,,,,,,,,,,0,,1202.2,g,1495.3,909.1,293.1,97.7,SE,14,number of species,NA,NA,,0,NA,,2
13,2009,,,Y,,39.5,2.5,,Mediterranean ,Offshore,12,Established,Sand,Low rugosity,High vertical relief,With openings,Concrete,Octagon,Designed reefs,Cement block structure,Experimental,9,48000,m3,NA,90,m2,90,30,m,1.8,km,Research,Trap net,,,,,,,,,,0,,9153.9,g,11177.3,7130.5,2023.4,674.4666667,SE,34,number of species,NA,NA,,0,NA,,2
13,2009,,,Y,,39.5,2.5,,Mediterranean ,Offshore,12,Established,Sand,Low rugosity,High vertical relief,With openings,Concrete,Octagon,Designed reefs,Cement block structure,Experimental,9,48000,m3,NA,90,m2,90,30,m,,km,Research,Trap net,,,,,,,,,,0,,4080.6,g,4941.4,3219.8,860.8,286.9333333,SE,23,number of species,NA,NA,,0,NA,,2
14,2007,"Terashima, Sato, et al",4/29/2023,Y,"Yenne Tode, Senegal",14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,5,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,July,,X,,,,,,,0,,,,,,,0,,1,number of species,,,,0,,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,5,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,July,,X,,,,,,,0,,,,,,,0,,2,number of species,,,,0,,,1
14,2007,,,Y,,14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,5,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,September,,X,,,,,,,0,,,,,,,0,,9,number of species,,,,0,,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,5,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,September,,X,,,,,,,0,,,,,,,0,,0,number of species,,,,0,,,1
14,2007,,,Y,,14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,5,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,September,,X,,,,,,,0,,,,,,,0,,9,number of species,,,,0,,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,5,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,September,,X,,,,,,,0,,,,,,,0,,0,number of species,,,,0,,,1
14,2007,,,Y,,14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,5,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,October,,X,,,,,,,0,,,,,,,0,,14,number of species,,,,0,,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,5,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,October,,X,,,,,,,0,,,,,,,0,,1,number of species,,,,0,,,1
14,2007,,,Y,,14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,5,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,February,,X,,,,,,,0,,,,,,,0,,15,number of species,,,,0,,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,5,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,February,,X,,,,,,,0,,,,,,,0,,3,number of species,,,,0,,,1
14,2007,,,Y,,14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,5,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,February,,X,,,,,,,0,,,,,,,0,,15,number of species,,,,0,,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,5,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,February,,X,,,,,,,0,,,,,,,0,,3,number of species,,,,0,,,1
14,2007,,,Y,,14.6172,-17.200117,,North Atlantic,Offshore,0,New,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Cubic module ,Experimental,5,31.640625,m3,NA,12.56637,m2,25,16,m,30,km,Habitat,Underwater visual census,February,,X,,,,,,,0,,,,,,,0,,14,number of species,,,,0,,,1
14,2007,,,Y,,14.61945,-17.193233,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,5,0,m3,NA,12.56637,m2,25,12,m,30,km,Natural,Underwater visual census,February,,X,,,,,,,0,,,,,,,0,,3,number of species,,,,0,,,1
15,2004,"Morinière,  van der Meij, et al",5/2/2023,Y,"Spanish Water Bay, Curaçao",12.06769,-68.85327,,North Atlantic,Offshore,NA,Established,vegitation,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,8,0,m3,NA,1,m2,0.8,5,m,,,Natural,Underwater visual census,,,,,1.647058969,number of fish,2.11052,1.15508,0.463461031,0.163858219,SE,,,,,,0,,,,,,,0,,,1
15,2004,,,Y,,12.06769,-68.85327,,North Atlantic,Offshore,NA,New,vegitation,Low rugosity,Low vertical relief,No openings,PVC,Pole,Designed reefs,16 vertical pvc pipes,Experimental,8,0.001130973,m3,NA,1,m2,0.8,5,m,,,Research,Underwater visual census,,,,,1.60649102,number of fish,1.8681,1.326203,0.26160898,0.092492742,SE,,,,,,0,,,,,,,0,,,1
15,2004,,,Y,,12.06769,-68.85327,,North Atlantic,Offshore,NA,New,vegitation,Low rugosity,Low vertical relief,No openings,PVC,Pole,Designed reefs,32 vertical pvc pipes ,Experimental,8,0.002261946,m3,NA,1,m2,0.8,5,m,,,Research,Underwater visual census,,,,,1.60649102,number of fish,1.83957,1.354724,0.23307898,0.082405864,SE,,,,,,0,,,,,,,0,,,1
15,2004,,,Y,,12.06769,-68.85327,,North Atlantic,Offshore,NA,New,vegitation,Low rugosity,Low vertical relief,No openings,PVC,Pole,Designed reefs,64 vertical pvc pipes,Experimental,8,0.004523891,m3,NA,1,m2,0.8,5,m,,,Research,Underwater visual census,,,,,2.888438141,number of fish,3.50089,2.27451,0.612451859,0.216534431,SE,,,,,,0,,,,,,,0,,,1
16,2004,"Fabi, Grati, et al",5/3/2023,Y,"Pesaro, Italy",44.02659,12.91447,,Mediterranean ,Offshore,4,New,Sand/mud,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,30,14200,m3,NA,1500,m2,1500,21.5,m,16,km,Oil rig,Trap net,,,,,97.08737864,number of fish,150.5576194,NA,53.47024073,9.762285667,SE,7.857143228,kg,11.60492767,NA,3.747784439,0.684248693,SE,13.7967769,number of species,15.40106723,11.71122884,1.604290331,0.292902001,SE,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,4,New,Sand/mud,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,30,9500,m3,NA,1500,m2,1500,21.5,m,35,km,Oil rig,Trap net,,,,,44.66017936,number of fish,57.62085712,NA,12.96067776,2.36628519,SE,6.224487916,kg,8.518507477,NA,2.294019562,0.418828754,SE,14.75935354,number of species,16.20320627,12.67379325,1.44385273,0.263610237,SE,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,4,New,Sand/mud,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,30,14200,m3,NA,1500,m2,1500,21.5,m,16,km,Oil rig,Trap net,,,,,96.11651967,number of fish,158.9218744,NA,62.80535477,11.46663651,SE,7.755096189,kg,11.97530657,NA,4.220210378,0.770501474,SE,19.25133709,number of species,20.85561519,17.80748436,1.604278091,0.292899766,SE,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,4,New,Sand/mud,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,30,9500,m3,NA,1500,m2,1500,21.5,m,35,km,Oil rig,Trap net,,,,,145.631068,number of fish,183.0854986,NA,37.4544306,6.838212173,SE,17.04081622,kg,22.83950469,NA,5.79868847,1.058690826,SE,9.465237066,number of species,10.74865832,8.181803578,1.283421249,0.23431959,SE,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,4,New,Sand/mud,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,30,14200,m3,NA,1500,m2,1500,21.5,m,16,km,Oil rig,Trap net,,,,,92.23300971,number of fish,208.178441,NA,115.9454313,21.16864273,SE,9.387755393,kg,15.92592535,NA,6.538169957,1.193701057,SE,11.22994664,number of species,12.67379325,10.26737611,1.44384661,0.263609119,SE,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,4,New,Sand/mud,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,30,9500,m3,NA,1500,m2,1500,21.5,m,35,km,Oil rig,Trap net,,,,,375.7281627,number of fish,395.9107795,NA,20.18261674,3.684824819,SE,46.02040811,kg,50.61728404,NA,4.596875928,0.83927088,SE,9.304811705,number of species,10.26737611,8.181803578,0.962564407,0.175739413,SE,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,35,0,m3,NA,1500,m2,1500,21.5,m,16,km,Natural,Trap net,,,,,112.6213444,number of fish,186.8029137,NA,74.18156934,12.53897379,SE,6.734691971,kg,10.49382393,NA,3.759131963,0.635409274,SE,14.75935354,number of species,16.36363163,12.67379325,1.604278091,0.271172491,SE,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,35,0,m3,NA,1500,m2,1500,21.5,m,35,km,Natural,Trap net,,,,,33.98058252,number of fish,44.60969126,NA,10.62910873,1.796647294,SE,5.612244607,kg,6.543209859,NA,0.930965252,0.157361849,SE,8.823529502,number of species,10.42780759,7.05881993,1.604278091,0.271172491,SE,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,35,0,m3,NA,1500,m2,1500,21.5,m,16,km,Natural,Trap net,,,,,88.34949975,number of fish,171.003722,NA,82.6542222,13.97111351,SE,6.632652717,kg,10.98764363,NA,4.354990912,0.73612782,SE,15.40106723,number of species,17.00534532,14.11764598,1.604278091,0.271172491,SE,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,35,0,m3,NA,1500,m2,1500,21.5,m,35,km,Natural,Trap net,,,,,48.54368932,number of fish,69.70259828,NA,21.15890896,3.576508386,SE,3.979593187,kg,5.18518215,NA,1.205588963,0.203781728,SE,12.19249881,number of species,13.31550693,10.74865832,1.123008127,0.189823019,SE,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,35,0,m3,NA,1500,m2,1500,21.5,m,16,km,Natural,Trap net,,,,,73.78639295,number of fish,162.6394314,NA,88.85303848,15.0189047,SE,7.142856772,kg,13.95061831,NA,6.807761541,1.150721726,SE,9.144380224,number of species,10.42780759,8.181803578,1.283427369,0.21693882,SE,,3
16,2004,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Sand/mud,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,35,0,m3,NA,1500,m2,1500,21.5,m,35,km,Natural,Trap net,,,,,19.41747573,number of fish,21.37549183,NA,1.958016105,0.330965128,SE,4.285718734,kg,5.18518215,NA,0.899463416,0.152037067,SE,11.22994664,number of species,12.35293641,10.26737611,1.122989768,0.189819916,SE,,3
17,2002,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,2,New,Silt-clay,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,11,9500,m3,NA,500,m2,500,21,m,13.67942,km,Oil rig,Trap net,,,,,151.1,number of fish,,,,0,,8.54,kg,,,,0,,NA,NA,,,,0,,,2
17,2002,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Silt-clay,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,11,0,m3,NA,500,m2,500,21,m,13.67942,km,Natural,Trap net,,,,,134.8,number of fish,,,,0,,8.78,kg,,,,0,,NA,NA,,,,0,,,2
17,2002,"Fabi, Grati, et al",5/3/2023,Y,"Pesaro, Italy",44.02659,12.91447,,Mediterranean ,Offshore,1,New,Silt-clay,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,12,9500,m3,NA,500,m2,500,21,m,13.67942,km,Oil rig,Trap net,,,,,128,number of fish,,,,0,,9.51,kg,,,,0,,NA,NA,,,,0,,,2
17,2002,,,Y,,44.02659,12.91447,,Mediterranean ,Offshore,NA,Established,Silt-clay,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,12,0,m3,NA,500,m2,500,21,m,13.67942,km,Natural,Trap net,,,,,133,number of fish,,,,0,,10.04,kg,,,,0,,NA,NA,,,,0,,,2
18,2002,,,Y,,28.1529,-16.22923,,North Atlantic,Offshore,NA,Established,Sand,NA,NA,NA,Natural,Natural,Natural reef,Natural reef,NA,1,0,m3,NA,98.52,m2,2315.23,18,m,0.4,km,Natural,Underwater visual census,,,,,,,,,,0,,,,,,,0,,20,number of species,,,,0,,,1
18,2002,,,Y,,28.1529,-16.22923,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,35,0,m3,NA,98.52,m2,2315.23,23,m,0.4,km,Natural,Underwater visual census,,,,,,,,,,0,,,,,,,0,,15,number of species,,,,0,,,1
18,2002,"Herrera, Espino, et al",5/3/2023,Y,"Canary Islands, Spain",28.1529,-16.22923,,North Atlantic,Offshore,NA,New,Sand,Low rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete modules,Experimental,35,"1,022.70",m3,NA,98.52,m2,2315.23,23.5,m,0.4,km,Research,Underwater visual census,,,,,,,,,,0,,,,,,,0,,17,number of species,,,,0,,,1
18,2002,,,Y,,28.1529,-16.22923,,North Atlantic,Offshore,NA,New,Sand,High rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete modules,Experimental,85,680,m3,NA,98.52,m2,2315.23,23,m,0.4,km,Research,Underwater visual census,,,,,,,,,,0,,,,,,,0,,53,number of species,,,,0,,,1
19,1999,Clark and Edwards,5/3/2023,Y,"Malé, Maldeves",4.20266,73.50592,,Indian Ocean,Offshore,0.023972542,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,192.4528276,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.054794513,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,297.1698407,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.075342406,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,250.4717337,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.106164377,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,333.9622756,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.136986217,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,380.6603826,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.202054763,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,210.8490451,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.208904105,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,257.5472061,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.260273968,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,352.358493,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.349315014,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,273.1132238,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.400684878,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,192.4528276,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.503424605,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,223.584917,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.592465781,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,329.717003,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.684931432,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,219.3396443,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.866438389,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,290.0943683,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.130136919,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,560.3774193,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.287671116,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,377.8302369,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.616438454,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,629.7170435,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.993150789,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,363.6792921,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.48972614,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,277.3584964,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,3.07191767,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,509.4340127,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,3.452054872,New,Sand,High rugosity,Low vertical relief,With openings,Concrete,Cube,Designed reefs,Shepard Hill Energy Dissipator,Experimental,3,50,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,575.943437,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
